,Test,Price,
194,Fever Profile 2,3000,
195,FIBRINOGEN,600,
196,Fluid Cytology (Cell block),1500,
197,Fluid RM,600,
198,FNAC,1000,
199,FOLIC ACID,700,
200,FORM 1 (MER),,
201,Free Light Chain Analysis (FLC) KAPPA,2500,
202,Free Light Chain Analysis (FLC) Lamda,2500,
203,FREE PSA,900,
204,Free Testosterone,850,
205,FSH,450,
206,"FSH Pooled (0,20,60)",500,
207,FT3,300,
208,FT3 FT4 TSH,850,
209,FT4,300,
210,FT4 TSH,550,
211,G6PD,500,
212,GASTRIN,2000,
213,GENE X PERT TB,2500,
214,GFR,800,
215,GGT (Gamma GT),500,
216,Giemsa Stain,200,
217,GLYCOSYLATED HB(HbA1C),500,
218,Gram Stain.,200,
219,GROUP,150,
220,GROWTH HORMONE,750,
221,GTT 3 Sample,250,
222,GTT 5 Sample,400,
223,GTT 5 SAMPLE,400,
224,H Pylori IgA,700,
225,H Pylori IgG,700,
226,H Pylori IgM,700,
227,HAV IgM,700,
228,HB,100,
229,HB ELECTROPHORESIS,800,
230,HBA1C,500,
231,HBeAG,700,
232,HBsAg,250,
233,HBsAg BY ELISA,250,
234,HBV DNA qualitative RT PCR,2500,
235,HBV DNA quantitative RT PCR,5000,
236,HC (Health Check) I,800,
237,HC (Health Check) II,2000,
238,HC (Health Check) III,3000,
239,HC(Health Check) IV FEMALE,3000,
240,HC(Health Check) IV MALE,3000,
241,HCV (Anti HCV),650,
242,HCV RAN Qualitative,2800,
243,HCV RAN Quantitative,5000,
244,HDL Cholesterol,200,
245,Health Scan I,750,
246,Health Scan II,1500,
247,Health Scan III,2000,
248,Health Scan IV FOR Female,2500,
249,Health Scan IV FOR Male,2600,
250,Heavy Metals,6000,
251,Hemoglobinuria,250,
252,HEV IgM,850,
253,HISTOPATHOLOGY EXAMINATION,1500,
254,HIV,500,
255,HIV & HBsAg,750,
256,HIV By Elisa,500,
257,HIV WESTERN BLOT,2400,
258,HLAB27,2000,
259,HOMA-IR & HOMA-B (BetaCell Fn),1000,
260,HOMOCYSTINE,1200,
261,HOTEL FORMULA ONE CAMP,400,
262,HS CRP,500,
263,HSV -I IgG,350,
264,HSV -I IgM,350,
265,HSV II IgG,350,
266,HSV II IgM,350,
267,IgA,550,
268,IgE,550,
269,IGF I,1500,
270,IgG,550,
271,image,,
272,Immunofixation electrophoresis,5000,
273,IMMUNOPHENOTYPING (LymphomaPan,9500,
274,INDIAN INK PREPERATION,300,
275,Inhibin A,1800,
276,Inhibin B,2000,
277,INSULIN Fasting,700,
278,INSULIN PP,700,
279,Inteleukin 6 (IL 6),2500,
280,IONIC CALCIUM,500,
281,IPF (Immmature Platelate Fract,200,
282,IRON,400,
283,K,250,
284,KAMLESH FATANIA BASIC,,
285,KAMLESH FATANIA DIABETIC PROFILE,,
286,KCCB CAMP,60,
287,KOH Examination for fungal elements,400,
288,LACTATE,500,
289,LBC PAP,1000,
290,LDH,500,
291,Leptospira IgG,1250,
292,Leptospira IgM,1250,
293,LFT,700,
294,LFT with GGT,1000,
295,LFT With PT,800,
296,LH,500,
297,"LH Pooled (0,20,60)",550,
298,LIPASE,500,
299,Lipase (Fluid),500,
300,LIPID PROFILE,600,
301,Lithium,650,
302,"Liver Immunoblot (M2, LKM1, LC1, SLA, ACTIN)",3500,
303,LKM 1 (Liver kidney Microsomes Antibody),2000,
304,LP (a),800,
305,LUPUS ANTICOANGULANT,1500,
306,Magnesium,400,
307,MEDICAL HEALTH CHECK,85,
308,merrpt,,
309,Metanephrine Free Plama,4500,
310,Meth Haemoglobin,1200,
311,MICROALBUMIN Urine,500,
312,MMR Vaccination Titer,3500,
313,MP ANTIGEN,400,
314,MP BY PS,150,
315,MT(Mountex Test),150,
316,Mucormycosis RTPCR(Qualitative),6000,
317,MYGLOBULIN SERUM,800,
318,MYGLOBULIN URINE,800,
319,Na,250,
320,NA & K,500,
321,NMO Ab,7000,
322,NT pro BNP,2000,
323,OCCUPATIONAL HEALTH CHECK,3000,
324,Opthalmic Examination,150,
325,OSMOLALITY Serum,650,
326,OSMOLALITY Urine,650,
327,Osmotic Fragility Test,1000,
328,PAP SMEAR,400,
